tweet,pos,emo
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Wort &amp; Bild Verlag - Verlagsmeldungen: Senioren Ratgeber: Die wichtigsten Informationen für die Risikogruppe in der Corona-Zeit / <a href=""https://t.co/GorlJ9XIQ6"">https://t.co/GorlJ9XIQ6</a> als Lotse für ältere Menschen <a href=""https://t.co/8Jxo3mVASo"">https://t.co/8Jxo3mVASo</a> <a href=""https://twitter.com/hashtag/Baierbrunn?src=hash&amp;ref_src=twsrc%5Etfw"">#Baierbrunn</a> <a href=""https://t.co/cvjfIQjIRP"">pic.twitter.com/cvjfIQjIRP</a></p>&mdash; presseportal.de (@na_presseportal) <a href=""https://twitter.com/na_presseportal/status/1245652965408399360?ref_src=twsrc%5Etfw"">April 2, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Unterschrieben: <a href=""https://twitter.com/hashtag/Initiative?src=hash&amp;ref_src=twsrc%5Etfw"">#Initiative</a> Führen Sie die Baseline Studie durch - wir brauchen endlich saubere Corona-Daten <a href=""https://t.co/umRlYdCmoH"">https://t.co/umRlYdCmoH</a> via <a href=""https://twitter.com/oPetition?ref_src=twsrc%5Etfw"">@oPetition</a></p>&mdash; Gudrun Haas (@GudrunHaas) <a href=""https://twitter.com/GudrunHaas/status/1244527285191020544?ref_src=twsrc%5Etfw"">March 30, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Corona-KriseSPD schlägt – wie auch Linkspartei – Vermögensabgabe vor <a href=""https://t.co/gSs1cVtdIL"">https://t.co/gSs1cVtdIL</a> <a href=""https://twitter.com/hashtag/Verm%C3%B6gensabgabe?src=hash&amp;ref_src=twsrc%5Etfw"">#Vermögensabgabe</a> <a href=""https://twitter.com/hashtag/SPD?src=hash&amp;ref_src=twsrc%5Etfw"">#SPD</a> <a href=""https://twitter.com/hashtag/Linke?src=hash&amp;ref_src=twsrc%5Etfw"">#Linke</a> <a href=""https://twitter.com/hashtag/Reichtum?src=hash&amp;ref_src=twsrc%5Etfw"">#Reichtum</a> <a href=""https://twitter.com/hashtag/Armut?src=hash&amp;ref_src=twsrc%5Etfw"">#Armut</a> <a href=""https://twitter.com/hashtag/Umverteilen?src=hash&amp;ref_src=twsrc%5Etfw"">#Umverteilen</a> <a href=""https://twitter.com/umverteilen1?ref_src=twsrc%5Etfw"">@umverteilen1</a></p>&mdash; Uwe Hiksch (@UweHiksch) <a href=""https://twitter.com/UweHiksch/status/1245693738434924546?ref_src=twsrc%5Etfw"">April 2, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Nicht zutreffend,Nicht zutreffend
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr""><a href=""https://t.co/6MWP82RyA1"">https://t.co/6MWP82RyA1</a><a href=""https://twitter.com/sternde?ref_src=twsrc%5Etfw"">@sternde</a> hat eine Headline geändert! <br><br>Corona-Flucht aus Costa Rica: Mit Windel als Mundschutz: Janni Hönscheid und Peer Kusmagk sind zurück in Deutschland<br><br> Alle Änderungen auf <a href=""https://t.co/f09c6MY4Nw"">https://t.co/f09c6MY4Nw</a> <a href=""https://twitter.com/hashtag/hl_diff?src=hash&amp;ref_src=twsrc%5Etfw"">#hl_diff</a> <a href=""https://twitter.com/hashtag/journalismus?src=hash&amp;ref_src=twsrc%5Etfw"">#journalismus</a> <a href=""https://t.co/I7vlFOkqmr"">pic.twitter.com/I7vlFOkqmr</a></p>&mdash; Gnutiez (@gnutiez) <a href=""https://twitter.com/gnutiez/status/1244931177955409920?ref_src=twsrc%5Etfw"">March 31, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Freut ihr euch auch schon morgen auf die ganzen lustigen <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a>-Aprilscherze?<br><br>Ich auch nicht</p>&mdash; {{user.displayName}} (@rhold) <a href=""https://twitter.com/rhold/status/1244993317215121408?ref_src=twsrc%5Etfw"">March 31, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Nicht zutreffend,Nicht zutreffend
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr""><a href=""https://twitter.com/hashtag/Flugl%C3%A4rmnews?src=hash&amp;ref_src=twsrc%5Etfw"">#Fluglärmnews</a>: <a href=""https://twitter.com/hashtag/Kerosinobst?src=hash&amp;ref_src=twsrc%5Etfw"">#Kerosinobst</a> in Zeiten von <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a> <a href=""https://t.co/DTM5qoYXOJ"">https://t.co/DTM5qoYXOJ</a></p>&mdash; ulrics (@ulrics3) <a href=""https://twitter.com/ulrics3/status/1242763729562935296?ref_src=twsrc%5Etfw"">March 25, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">71.666  <br>Berlin | Familie, die wegen Corona-Krise Rechnungen nicht bezahlen kann | ca. 1h Drehzeit, so bald wie möglich | Aufwandsentschädigung nach Absprache<a href=""https://t.co/dU6SygiQpP"">https://t.co/dU6SygiQpP</a></p>&mdash; KOMPARSE_DE (@KOMPARSE_DE) <a href=""https://twitter.com/KOMPARSE_DE/status/1245702425379561472?ref_src=twsrc%5Etfw"">April 2, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Nicht zutreffend
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Hallöchen ich wollte mich auch mal wieder melden 😄 Ich hoffe es geht euch gut und seid alle gesund 🙏 Wie vertreibt ihr eure Zeit in der Corona-Quarantäne? Bin im übrigen wieder öfter auf Twitch unterwegs würde mich… <a href=""https://t.co/xRcKClIhSY"">https://t.co/xRcKClIhSY</a></p>&mdash; Yumima (@YumimaTv) <a href=""https://twitter.com/YumimaTv/status/1242879314225479686?ref_src=twsrc%5Etfw"">March 25, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">NAB las vegas. <br><br>größte broadcast messe der welt. abgesagt. <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a></p>&mdash; /δ\ (@RentATobbes) <a href=""https://twitter.com/RentATobbes/status/1237814851625537536?ref_src=twsrc%5Etfw"">March 11, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Schau dir &quot;Corona: Ausgangssperren rechtswidrig!&quot; auf YouTube an <a href=""https://t.co/CJ1gRowpXm"">https://t.co/CJ1gRowpXm</a></p>&mdash; Shakti Morgane (@shaktimorgane) <a href=""https://twitter.com/shaktimorgane/status/1242480768057634822?ref_src=twsrc%5Etfw"">March 24, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Zwar mit Einschränkungen, aber: In NRW dürfen die Fußball-Profis wieder gemeinsam trainieren. <a href=""https://t.co/gDUTRrUwUB"">https://t.co/gDUTRrUwUB</a> <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a></p>&mdash; Sportschau (@sportschau) <a href=""https://twitter.com/sportschau/status/1245023637909975043?ref_src=twsrc%5Etfw"">March 31, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Positiv,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Freiburgs Robin Koch - DFB-Star zeigt BILD sein Corona-Workout <a href=""https://t.co/zptZCB0ueY"">https://t.co/zptZCB0ueY</a> <a href=""https://twitter.com/hashtag/Fussball?src=hash&amp;ref_src=twsrc%5Etfw"">#Fussball</a> <a href=""https://twitter.com/hashtag/News?src=hash&amp;ref_src=twsrc%5Etfw"">#News</a> <a href=""https://twitter.com/hashtag/Sport?src=hash&amp;ref_src=twsrc%5Etfw"">#Sport</a></p>&mdash; Bild FUSSBALL (@Fussball_Bild) <a href=""https://twitter.com/Fussball_Bild/status/1245265998615322624?ref_src=twsrc%5Etfw"">April 1, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Nicht zutreffend
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Trusted Shops GmbH: Sicherheit für Onlineshops / Trusted Shops und Jimdo helfen gemeinsam Onlineshops in der Corona-Krise <a href=""https://t.co/G431LTg18j"">https://t.co/G431LTg18j</a> <a href=""https://twitter.com/hashtag/K%C3%B6ln?src=hash&amp;ref_src=twsrc%5Etfw"">#Köln</a></p>&mdash; presseportal.de (@na_presseportal) <a href=""https://twitter.com/na_presseportal/status/1245615206559956992?ref_src=twsrc%5Etfw"">April 2, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Sachlich
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Geschäftsführer in der Krise: Ingo Lamprecht ist seit 100 Tagen im Amt beim MSV Neuruppin: 100 interessante Tage liegen hinter Ingo Lamprecht - genannt Lommel - beim MSV Neuruppin. In der Corona-Krise verschieben sich jetzt die Prioritäten des Vereins. <a href=""https://t.co/Nu1gFL0CX5"">https://t.co/Nu1gFL0CX5</a> <a href=""https://t.co/xuQzispY7C"">pic.twitter.com/xuQzispY7C</a></p>&mdash; MAZ Sportbuzzer (@maz_sportbuzzer) <a href=""https://twitter.com/maz_sportbuzzer/status/1241779681923219456?ref_src=twsrc%5Etfw"">March 22, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Nicht zutreffend,Nicht zutreffend
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Klosterfrau und Jägermeister liefern Desinfektionsmittel? Das wird aber klebrig. 😳<a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a></p>&mdash; Karin Mueller (@muellerin) <a href=""https://twitter.com/muellerin/status/1242458453907554305?ref_src=twsrc%5Etfw"">March 24, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Neutral,Emotional
"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">(2/2) Dennoch steht der Bereich vor vielen regulatorischen Hindernissen. Die Politik muss jetzt einen schnelleren Ausbau im Bereich Windenergie ermöglichen, auch angesichts der Corona-Krise, fordert der Bundesverband WindEnergie.</p>&mdash; Stadtwerke Zeitung (@StadtwerkeZeitg) <a href=""https://twitter.com/StadtwerkeZeitg/status/1245573274248957956?ref_src=twsrc%5Etfw"">April 2, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ,Sachlich
