participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.tweet,player.pos_scale,player.opt_scale,player.hap_scale,player.emo_scale,player.not_applicable,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,v90uhrq1,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.900737+00:00,1,,,0,1,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Warum eig DE?<br>Es arbeitet grad gefühlt jedes Land an Impfstoffen oder Med. gegen Corona.<br>Und viele sind schon in der Testphase 😅</p>&mdash; Margaryta (@glass_of_vvine) <a href=""https://twitter.com/glass_of_vvine/status/1239195029098377216?ref_src=twsrc%5Etfw"">March 15, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,Pessimistisch/Optimistisch,,,,0,1,1,dxeoxbcw,,,,,,0
2,bshc2lm0,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.958666+00:00,1,,,0,2,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr""><a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a> <a href=""https://twitter.com/hashtag/COVID%E3%83%BC19?src=hash&amp;ref_src=twsrc%5Etfw"">#COVIDー19</a> <a href=""https://twitter.com/hashtag/StayAtHome?src=hash&amp;ref_src=twsrc%5Etfw"">#StayAtHome</a> <br>Hinweis für Eltern mit Schulkindern: schaut mal auf Planet Schule vom SWR.<a href=""https://t.co/Nwo9td9xV3"">https://t.co/Nwo9td9xV3</a><br>Auch der Tigerentenclub ändert sein Programm ab Montag.<a href=""https://t.co/nHpeH41jLr"">https://t.co/nHpeH41jLr</a></p>&mdash; Kilian Pfeffer (@hsbkp) <a href=""https://twitter.com/hsbkp/status/1238942691641233409?ref_src=twsrc%5Etfw"">March 14, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,,,,Nicht zutreffend,0,1,1,dxeoxbcw,,,,,,0
3,svxfifts,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:08.010400+00:00,1,,,0,3,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Um Gesundheitssystem für <a href=""https://twitter.com/hashtag/corona?src=hash&amp;ref_src=twsrc%5Etfw"">#corona</a> zu sichern, müssen alle verfügbaren Kräfte mobilisiert werden. <a href=""https://twitter.com/jensspahn?ref_src=twsrc%5Etfw"">@jensspahn</a> Deshalb Regelungen zu <a href=""https://twitter.com/hashtag/minijobs?src=hash&amp;ref_src=twsrc%5Etfw"">#minijobs</a> und <a href=""https://twitter.com/hashtag/baf%C3%B6g?src=hash&amp;ref_src=twsrc%5Etfw"">#bafög</a> sofort so gestalten, dass <a href=""https://twitter.com/hashtag/minijobber?src=hash&amp;ref_src=twsrc%5Etfw"">#minijobber</a> und <a href=""https://twitter.com/hashtag/studierende?src=hash&amp;ref_src=twsrc%5Etfw"">#studierende</a> ohne Nachteile 100% einspringen können. <a href=""https://twitter.com/hashtag/FlattenTheCurve?src=hash&amp;ref_src=twsrc%5Etfw"">#FlattenTheCurve</a> <a href=""https://twitter.com/hashtag/coronaDE?src=hash&amp;ref_src=twsrc%5Etfw"">#coronaDE</a></p>&mdash; Nicole Westig (@NicoleWestig) <a href=""https://twitter.com/NicoleWestig/status/1239596897628807168?ref_src=twsrc%5Etfw"">March 16, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,,,,Nicht zutreffend,0,1,1,dxeoxbcw,,,,,,0
4,gl6dn6m7,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:08.061248+00:00,1,,,0,4,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Wichtige aktuelle Informationen zu <a href=""https://twitter.com/hashtag/Schulschlie%C3%9Fungen?src=hash&amp;ref_src=twsrc%5Etfw"">#Schulschließungen</a> wegen <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a> in <a href=""https://twitter.com/hashtag/Berlin?src=hash&amp;ref_src=twsrc%5Etfw"">#Berlin</a> <a href=""https://twitter.com/hashtag/COVID19?src=hash&amp;ref_src=twsrc%5Etfw"">#COVID19</a> <a href=""https://twitter.com/hashtag/FlattenTheCurve?src=hash&amp;ref_src=twsrc%5Etfw"">#FlattenTheCurve</a> <a href=""https://t.co/3nTZECFUz5"">https://t.co/3nTZECFUz5</a></p>&mdash; Martin Matz (@martinmatz) <a href=""https://twitter.com/martinmatz/status/1238245916416622595?ref_src=twsrc%5Etfw"">March 12, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,,Verärgert/Zufrieden,,,0,1,1,dxeoxbcw,,,,,,0
1,v90uhrq1,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.900737+00:00,1,,,0,1,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Sorry, aber das ist lebensfremd, bei Corona geht es um das eigene Überleben, bei der Klimakrise um das Überleben eine mir unbekannten Generation. Was nützt es den Klimawandel zu stoppen, wenn wir nicht mehr leben. 3 %, so viel......</p>&mdash; Burkhard (@Burkhar37325926) <a href=""https://twitter.com/Burkhar37325926/status/1238921042292142080?ref_src=twsrc%5Etfw"">March 14, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,,,,,0,1,2,dxeoxbcw,,,,,,0
2,bshc2lm0,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.958666+00:00,1,,,0,2,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Hör ich gerade wirklich danni dabei zu, wie sie über ihre neue Frisur redet? Schlimmster Moment der letzten Wochen, corona hin oder her.<a href=""https://twitter.com/hashtag/GoodbyeDeutschland?src=hash&amp;ref_src=twsrc%5Etfw"">#GoodbyeDeutschland</a></p>&mdash; Enrico Escoblah (@RanEnrico) <a href=""https://twitter.com/RanEnrico/status/1239670086434271235?ref_src=twsrc%5Etfw"">March 16, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,,Verärgert/Zufrieden,,,0,1,2,dxeoxbcw,,,,,,0
3,svxfifts,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:08.010400+00:00,1,,,0,3,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">kann das mit dem pc jetzt eig vergessen nur weil ich keinen schreibtisch hab man fick scheiß corona</p>&mdash; emotional shawty (@AloeLena2_) <a href=""https://twitter.com/AloeLena2_/status/1240690825698238464?ref_src=twsrc%5Etfw"">March 19, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,,,,Nicht zutreffend,0,1,2,dxeoxbcw,,,,,,0
4,gl6dn6m7,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:08.061248+00:00,1,,,0,4,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Wie ich mit bae grad corona chill <a href=""https://t.co/HAoDePaklN"">pic.twitter.com/HAoDePaklN</a></p>&mdash; Basler (@CredibilDebil) <a href=""https://twitter.com/CredibilDebil/status/1239600042455060482?ref_src=twsrc%5Etfw"">March 16, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,,,,,0,1,2,dxeoxbcw,,,,,,0
1,v90uhrq1,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.900737+00:00,1,,,0,1,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">ARTIKEL Sonderregeln zur Steuerzahlungspflicht wegen Corona <a href=""https://t.co/VfTMQyS43e"">https://t.co/VfTMQyS43e</a> (597 Wörter)</p>&mdash; Anwaltsblogs (@Rechtsuniversum) <a href=""https://twitter.com/Rechtsuniversum/status/1240018971870531584?ref_src=twsrc%5Etfw"">March 17, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",Negativ/Positiv,,,,,0,1,3,dxeoxbcw,,,,,,0
2,bshc2lm0,,1,121,120,rate_ratings,ExitPage,2020-04-03 08:32:07.958666+00:00,1,,,0,2,"<blockquote class=""twitter-tweet""><p lang=""de"" dir=""ltr"">Kooperation oder My-Country-First? In Zeiten von <a href=""https://twitter.com/hashtag/Corona?src=hash&amp;ref_src=twsrc%5Etfw"">#Corona</a> wäre das ein guter Fall, um Optionen zu prüfen, was Kriterien für eine license to invest sein könnten. Prüfpunkte wären IMHO <a href=""https://twitter.com/hashtag/GoodGovernance?src=hash&amp;ref_src=twsrc%5Etfw"">#GoodGovernance</a>, <a href=""https://twitter.com/hashtag/Gemeinwohlorientierung?src=hash&amp;ref_src=twsrc%5Etfw"">#Gemeinwohlorientierung</a> <a href=""https://twitter.com/hashtag/CommonGood?src=hash&amp;ref_src=twsrc%5Etfw"">#CommonGood</a> <a href=""https://twitter.com/hashtag/Nachhaltigkeit?src=hash&amp;ref_src=twsrc%5Etfw"">#Nachhaltigkeit</a> <a href=""https://t.co/bqoEDhlsxG"">https://t.co/bqoEDhlsxG</a></p>&mdash; Nachhaltigkeitskodex (@NHKodex) <a href=""https://twitter.com/NHKodex/status/1239222495103856642?ref_src=twsrc%5Etfw"">March 15, 2020</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script> ",,,,,Nicht zutreffend,0,1,3,dxeoxbcw,,,,,,0
